,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_modif_prod,date_renewal,contract_months_left,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,churn
0,309275,0,10025,2012-11-07,2016-11-06,2012-11-07,2015-11-09,48,26520.3,10025,0.0,359.29,0.095919,0.08834700000000001,58.99595196,No,831.8,41.76,41.76,1,1732.36,3,ldkssxwpmemidmecebumciepifcamkci,180.0,Stayed
1,4660,0,0,2009-08-21,2016-08-30,2009-08-21,2015-08-31,84,189.95,0,0.0,16.27,0.14571099999999998,0.0,44.31137796,No,0.0,16.38,16.38,1,18.89,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.8,Stayed
2,544,0,0,2010-04-16,2016-04-16,2010-04-16,2015-04-17,72,47.96,0,0.0,38.72,0.165794,0.087899,44.31137796,No,0.0,28.6,28.6,1,6.6,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,Stayed
3,1584,0,0,2010-03-30,2016-03-30,2010-03-30,2015-03-31,72,240.04,0,0.0,19.83,0.14669400000000002,0.0,44.31137796,No,0.0,30.22,30.22,1,25.46,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,Stayed
4,121335,0,12400,2010-04-08,2016-04-08,2010-04-08,2015-04-12,72,10865.02,12400,0.0,170.74,0.11008299999999999,0.09374600000000001,40.606701,No,1052.37,3.18,3.18,1,823.18,6,lxidpiddsbxsbosboudacockeimpuepw,75.0,Stayed
5,4425,0,526,2010-01-13,2016-03-07,2010-01-13,2015-03-09,74,445.75,526,0.0,131.73,0.1169,0.10001499999999999,40.606701,No,52.32,44.91,44.91,1,47.98,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,19.8,Stayed
6,8302,0,1998,2011-12-09,2016-12-09,2015-11-01,2015-12-10,60,796.94,1998,0.0,30.12,0.164775,0.086131,45.30837756,No,181.21,33.12,33.12,1,118.89,4,lxidpiddsbxsbosboudacockeimpuepw,13.2,Churned
7,45097,0,0,2011-12-02,2016-12-02,2011-12-02,2015-12-03,60,8069.28,0,0.0,0.0,0.166178,0.087538,44.31137796,No,0.0,4.04,4.04,1,346.63,4,lxidpiddsbxsbosboudacockeimpuepw,15.0,Churned
8,29552,0,1260,2010-04-21,2016-04-21,2010-04-21,2015-04-22,72,864.73,751,0.0,144.49,0.115174,0.098837,40.606701,No,70.63,53.92,53.92,1,100.09,6,lxidpiddsbxsbosboudacockeimpuepw,26.4,Stayed
9,2962,0,0,2011-09-23,2016-09-23,2011-09-23,2015-09-25,60,444.38,0,0.0,15.85,0.14571099999999998,0.0,44.31137796,No,0.0,12.82,12.82,1,42.59,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,Stayed
